PID,name,units,Created,Updated,Return Bytes,Description,min_value,max_value,formula
4B,Accelerator pedal position F, %,,,1,,0,100,A*100/255
4C,Commanded throttle actuator, %,,,1,,0,100,A*100/255
4D,Time run with MIL on,minutes,,,2,,0,65535,(A*256)+B
4E,Time since trouble codes cleared,minutes,,,2,,0,65535,(A*256)+B
C3, ?, ?,,, ?,, ?, ?,"Returns numerous data, including Drive Condition ID and Engine Speed*"
C4, ?, ?,,, ?,, ?, ?,B5 is Engine Idle RequestB6 is Engine Stop Request*
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
